iter	MultiClass
0	2.907487859
1	2.822157409
2	2.720025703
3	2.656519024
4	2.591632403
5	2.501502655
6	2.445932033
7	2.393277922
8	2.331293571
9	2.282259893
10	2.236695356
11	2.187680519
12	2.149164167
13	2.117639629
14	2.08662969
15	2.052865101
16	2.013135848
17	1.98460621
18	1.952961897
19	1.916288574
20	1.89245443
21	1.866634855
22	1.845032782
23	1.825324323
24	1.795434572
25	1.767350142
26	1.741649893
27	1.724527849
28	1.702809505
29	1.686862383
30	1.669135259
31	1.651517681
32	1.63216562
33	1.609648955
34	1.593808993
35	1.573271473
36	1.556969481
37	1.541908282
38	1.5309303
39	1.512709981
40	1.497943379
41	1.487180221
42	1.466049708
43	1.444407277
44	1.431725969
45	1.418702707
46	1.40959172
47	1.396832845
48	1.386291368
49	1.371916575
50	1.358385774
51	1.344295449
52	1.330601378
53	1.319840185
54	1.311352771
55	1.300196461
56	1.29098538
57	1.282674049
58	1.265465406
59	1.256401638
60	1.244976788
61	1.233269591
62	1.225864949
63	1.217718334
64	1.192857754
65	1.173818802
66	1.163507358
67	1.151660993
68	1.141868116
69	1.129116965
70	1.121298013
71	1.109934091
72	1.099280151
73	1.09413822
74	1.088311193
75	1.080382937
76	1.067919542
77	1.05976897
78	1.051256934
79	1.042752488
80	1.035771244
81	1.021821308
82	1.015449297
83	1.007684461
84	0.9991007338
85	0.9914383044
86	0.9864033039
87	0.9784098179
88	0.9691549611
89	0.9608064172
90	0.9506729494
91	0.943756432
92	0.9367145395
93	0.9304567017
94	0.9251478021
95	0.9191230495
96	0.9037775073
97	0.8864206996
98	0.8773557713
99	0.871001908
100	0.8654407064
101	0.8581638749
102	0.8525088196
103	0.8469728965
104	0.8402467532
105	0.8345004623
106	0.8289200454
107	0.8235454669
108	0.8188505711
109	0.8132111981
110	0.8089756546
111	0.8034491264
112	0.8014433532
113	0.7974696822
114	0.7935392633
115	0.7880240812
116	0.7817622567
117	0.7727727754
118	0.7660047718
119	0.7611093198
120	0.7564189697
121	0.75009919
122	0.7434349804
123	0.7382894348
124	0.7316708564
125	0.7284199448
126	0.7210270266
127	0.7177439644
128	0.7141051577
129	0.7087642611
130	0.7056457392
131	0.7024249474
132	0.6984501767
133	0.6951685921
134	0.6902655207
135	0.6851316787
136	0.6780669027
137	0.6729668984
138	0.6655122071
139	0.6614611045
140	0.6568084525
141	0.650106501
142	0.6455237571
143	0.6439948833
144	0.6407700485
145	0.6361092161
146	0.631360079
147	0.6275604081
148	0.6244730961
149	0.6195271935
150	0.6159264691
151	0.612560957
152	0.6091280952
153	0.6049893311
154	0.6016898613
155	0.599543688
156	0.5959851143
157	0.5922776964
158	0.5883623009
159	0.5834324033
160	0.5809263756
161	0.5754159924
162	0.5718864008
163	0.5697441407
164	0.5658433335
165	0.5630000858
166	0.559894474
167	0.5564121891
168	0.5533271506
169	0.5507319889
170	0.5482713958
171	0.5457031796
172	0.5420985811
173	0.5391764749
174	0.5360357758
175	0.5331688542
176	0.5304233356
177	0.5248529346
178	0.5215565445
