iter	Passed	Remaining
0	198	198704
1	248	123877
2	291	97026
3	337	84104
4	384	76612
5	429	71151
6	476	67565
7	521	64719
8	569	62757
9	615	60951
10	666	59902
11	713	58733
12	764	58035
13	808	56942
14	854	56138
15	903	55536
16	948	54844
17	997	54416
18	1043	53864
19	1092	53511
20	1139	53113
21	1186	52746
22	1232	52347
23	1283	52215
24	1328	51797
25	1377	51591
26	1424	51331
27	1471	51088
28	1517	50820
29	1565	50620
30	1617	50563
31	1663	50315
32	1710	50114
33	1755	49879
34	1805	49789
35	1852	49597
36	1898	49421
37	1941	49143
38	1989	49030
39	2037	48895
40	2083	48741
41	2129	48574
42	2175	48427
43	2221	48273
44	2267	48117
45	2317	48056
46	2364	47942
47	2408	47764
48	2452	47608
49	2505	47608
50	2551	47476
51	2602	47448
52	2650	47352
53	2695	47225
54	2739	47066
55	2789	47029
56	2838	46956
57	2886	46879
58	2934	46809
59	2982	46723
60	3029	46635
61	3076	46542
62	3126	46495
63	3176	46450
64	3225	46396
65	3271	46290
66	3320	46237
67	3369	46180
68	3413	46051
69	3457	45940
70	3507	45893
71	3553	45795
72	3603	45757
73	3651	45698
74	3703	45672
75	3751	45607
76	3799	45541
77	3848	45489
78	3895	45413
79	3941	45325
80	3988	45253
81	4033	45152
82	4078	45055
83	4126	45000
84	4172	44918
85	4222	44876
86	4269	44801
87	4316	44736
88	4366	44690
89	4415	44647
90	4460	44551
91	4503	44449
92	4545	44330
93	4589	44233
94	4638	44189
95	4685	44120
96	4732	44060
97	4778	43985
98	4829	43951
99	4877	43895
100	4926	43848
101	4971	43766
102	5018	43702
103	5064	43630
104	5109	43554
105	5160	43519
106	5203	43424
107	5253	43386
108	5295	43283
109	5343	43233
110	5391	43181
111	5441	43143
112	5485	43056
113	5533	43005
114	5579	42934
115	5627	42883
116	5675	42833
117	5721	42769
118	5767	42695
119	5812	42623
120	5859	42563
121	5904	42490
122	5952	42442
123	5998	42378
124	6045	42320
125	6094	42274
126	6139	42200
127	6189	42166
128	6237	42115
129	6280	42033
130	6327	41971
131	6375	41927
132	6424	41878
133	6468	41801
134	6517	41762
135	6562	41693
136	6610	41642
137	6656	41576
138	6703	41524
139	6750	41464
140	6798	41416
141	6848	41379
142	6894	41319
143	6941	41260
144	6990	41220
145	7039	41176
146	7083	41104
147	7130	41049
148	7177	40991
149	7225	40945
150	7267	40864
151	7310	40787
152	7359	40740
153	7407	40691
154	7454	40638
155	7501	40585
156	7546	40518
157	7594	40474
158	7642	40425
159	7688	40365
160	7735	40310
161	7778	40239
162	7826	40189
163	7871	40123
164	7917	40066
165	7963	40009
166	8013	39971
167	8062	39928
168	8110	39878
169	8157	39826
170	8201	39759
171	8249	39712
172	8295	39654
173	8345	39616
174	8392	39566
175	8438	39508
176	8484	39451
177	8534	39411
178	8580	39354
179	8626	39297
180	8670	39231
181	8719	39187
182	8766	39137
183	8814	39088
184	8861	39036
185	8906	38978
186	8953	38926
187	8997	38860
188	9042	38799
189	9088	38743
190	9131	38678
191	9178	38626
192	9224	38572
193	9273	38529
194	9321	38482
195	9365	38419
196	9409	38353
197	9456	38303
198	9500	38241
199	9548	38193
200	9597	38153
201	9644	38100
202	9694	38060
203	9737	37996
204	9784	37943
205	9826	37876
206	9874	37828
207	9923	37783
208	9973	37747
209	10023	37705
210	10067	37646
211	10112	37586
212	10158	37532
213	10202	37472
214	10246	37410
215	10290	37352
216	10340	37311
217	10387	37260
218	10437	37223
219	10487	37184
220	10530	37119
221	10581	37082
222	10629	37037
223	10674	36978
224	10720	36924
225	10764	36866
226	10808	36804
227	10854	36753
228	10904	36713
229	10951	36662
230	10997	36611
231	11044	36561
232	11092	36514
233	11138	36462
234	11188	36422
235	11231	36359
236	11276	36302
237	11320	36245
238	11367	36194
239	11418	36158
240	11462	36100
241	11509	36051
242	11554	35993
243	11601	35947
244	11649	35899
245	11695	35848
246	11745	35807
247	11793	35759
248	11842	35716
249	11890	35671
250	11934	35612
251	11979	35559
252	12026	35508
253	12072	35457
254	12116	35399
255	12161	35343
256	12210	35299
257	12257	35250
258	12306	35209
259	12350	35150
260	12397	35102
261	12440	35042
262	12489	34998
263	12532	34938
264	12581	34895
265	12627	34842
266	12672	34790
267	12722	34748
268	12768	34696
269	12814	34645
270	12859	34591
271	12905	34540
272	12950	34487
273	13000	34447
274	13045	34391
275	13094	34348
276	13135	34285
277	13183	34238
278	13228	34186
279	13273	34132
280	13321	34087
281	13364	34026
282	13411	33978
283	13456	33925
284	13501	33873
285	13551	33830
286	13598	33783
287	13647	33740
288	13697	33699
289	13744	33650
290	13787	33591
291	13832	33538
292	13878	33488
293	13927	33445
294	13973	33393
295	14021	33349
296	14066	33295
297	14114	33248
298	14160	33198
299	14207	33150
300	14252	33098
301	14299	33049
302	14344	32997
303	14394	32956
304	14439	32903
305	14487	32856
306	14534	32808
307	14584	32768
308	14628	32712
309	14671	32655
310	14719	32610
311	14767	32563
312	14814	32516
313	14863	32473
314	14952	32514
315	15094	32671
316	15138	32617
317	15186	32568
318	15231	32516
319	15277	32465
320	15323	32413
321	15365	32353
322	15414	32307
323	15461	32260
324	15509	32211
325	15553	32157
326	15599	32104
327	15645	32054
328	15692	32004
329	15740	31958
330	15785	31904
331	15831	31854
332	15878	31803
333	15925	31755
334	15966	31694
335	16012	31643
336	16057	31590
337	16101	31536
338	16147	31485
339	16194	31436
340	16244	31392
341	16288	31338
342	16335	31290
343	16378	31233
344	16422	31178
345	16465	31122
346	16516	31081
347	16560	31027
348	16607	30978
349	16656	30934
350	16703	30885
351	16749	30833
352	16793	30779
353	16841	30734
354	16889	30687
355	16934	30633
356	16981	30585
357	17027	30536
358	17077	30491
359	17121	30438
360	17168	30389
361	17217	30344
362	17265	30297
363	17313	30250
364	17360	30202
365	17408	30155
366	17455	30106
367	17503	30060
368	17550	30011
369	17595	29960
370	17645	29916
371	17687	29858
372	17739	29818
373	17781	29762
374	17825	29709
375	17875	29665
376	17924	29620
377	17971	29572
378	18018	29524
379	18066	29477
380	18113	29428
381	18161	29381
382	18207	29330
383	18253	29282
384	18299	29230
385	18346	29183
386	18387	29126
387	18434	29076
388	18483	29031
389	18532	28987
390	18578	28937
391	18625	28887
392	18673	28842
393	18715	28785
394	18760	28733
395	18803	28680
396	18846	28625
397	18890	28572
398	18936	28523
399	18981	28472
400	19029	28426
401	19081	28384
402	19126	28334
403	19174	28286
404	19221	28239
405	19268	28191
406	19314	28140
407	19362	28094
408	19412	28050
409	19460	28004
410	19505	27952
411	19554	27908
412	19603	27862
413	19652	27816
414	19698	27767
415	19745	27720
416	19793	27672
417	19838	27621
418	19883	27571
419	19927	27519
420	19974	27471
421	20024	27427
422	20074	27383
423	20119	27332
424	20167	27285
425	20210	27232
426	20254	27180
427	20300	27130
